Credential,Years After Graduation,Field of Study (2-digit CIP code),Field of Study (4-digit CIP code),Median Income,Cohort Size
Diploma,2,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,"$66,300 ",570
Diploma,2,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,"$73,600 ",600
Diploma,2,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$53,000 ",220
Diploma,2,15. Engineering technologies and engineering-related fields,15.06. Industrial production technologies/technicians,"$86,000 ",50
Diploma,2,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$73,700 ",130
Bachelor's degree,2,26. Biological and biomedical sciences,26.03. Botany/plant biology,,
Diploma,2,15. Engineering technologies and engineering-related fields,15.08. Mechanical engineering related technologies/technicians,"$60,400 ",390
Diploma,2,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$69,400 ",370
Diploma,2,15. Engineering technologies and engineering-related fields,15.10. Construction engineering technology/technician,"$70,400 ",210
Diploma,2,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$61,100 ",150
Diploma,2,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$53,400 ",520
Bachelor's degree,2,26. Biological and biomedical sciences,26.10. Pharmacology and toxicology,,
Bachelor's degree,2,26. Biological and biomedical sciences,"26.11. Biomathematics, bioinformatics, and computational biology",,
Bachelor's degree,2,26. Biological and biomedical sciences,26.12. Biotechnology,,
Diploma,2,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,"$53,800 ",450
Diploma,2,15. Engineering technologies and engineering-related fields,"15.99. Engineering technologies and engineering-related fields, other","$68,000 ",260
Bachelor's degree,2,15. Engineering technologies and engineering-related fields,15.15. Engineering-related fields,"$75,600 ",110
Bachelor's degree,2,27. Mathematics and statistics,27.03. Applied mathematics,,
Bachelor's degree,2,27. Mathematics and statistics,27.05. Statistics,,
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,"30.15. Science, technology and society",,
Certificate,3,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$62,300 ",160
Certificate,3,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$55,100 ",150
Certificate,3,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$83,300 ",100
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,30.20. International/global studies,,
Bachelor's degree,2,30. Multidisciplinary/interdisciplinary studies,30.22. Classical and ancient studies,,
Certificate,3,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$55,300 ",80
Bachelor's degree,2,"31. Parks, recreation, leisure and fitness studies","31.01. Parks, recreation and leisure studies",,
Bachelor's degree,2,"31. Parks, recreation, leisure and fitness studies","31.03. Parks, recreation and leisure facilities management",,
Certificate,3,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$55,000 ",60
Certificate,3,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,"$64,100 ",100
Bachelor's degree,2,38. Philosophy and religious studies,38.02. Religion/religious studies,,
Bachelor's degree,2,38. Philosophy and religious studies,"38.99. Philosophy and religious studies, other",,
Bachelor's degree,2,39. Theology and religious vocations,39.02. Bible/Biblical studies,,
Bachelor's degree,2,39. Theology and religious vocations,39.06. Theological and ministerial studies,,
Bachelor's degree,2,39. Theology and religious vocations,"39.99. Theology and religious vocations, other",,
Diploma,3,15. Engineering technologies and engineering-related fields,15.02. Civil engineering technology/technician,"$65,400 ",410
Bachelor's degree,2,40. Physical sciences,40.02. Astronomy and astrophysics,,
Bachelor's degree,2,40. Physical sciences,40.04. Atmospheric sciences and meteorology,,
Diploma,3,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,"$70,700 ",580
Diploma,3,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,"$79,100 ",600
Diploma,3,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$57,900 ",200
Diploma,3,15. Engineering technologies and engineering-related fields,15.06. Industrial production technologies/technicians,"$86,900 ",60
Diploma,3,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$79,700 ",120
Diploma,3,15. Engineering technologies and engineering-related fields,15.08. Mechanical engineering related technologies/technicians,"$64,900 ",380
Diploma,3,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$74,300 ",410
Diploma,3,15. Engineering technologies and engineering-related fields,15.10. Construction engineering technology/technician,"$75,900 ",220
Bachelor's degree,2,44. Public administration and social service professions,44.04. Public administration,,
Bachelor's degree,2,44. Public administration and social service professions,44.05. Public policy analysis,,
Diploma,3,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$65,200 ",150
Diploma,3,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$56,000 ",540
Diploma,3,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,"$56,600 ",440
Diploma,3,15. Engineering technologies and engineering-related fields,"15.99. Engineering technologies and engineering-related fields, other","$69,000 ",270
Bachelor's degree,3,15. Engineering technologies and engineering-related fields,15.15. Engineering-related fields,"$78,700 ",110
Certificate,4,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$67,300 ",170
Certificate,4,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$54,800 ",160
Certificate,4,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$87,700 ",90
Certificate,4,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$54,400 ",80
Certificate,4,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$56,400 ",70
Certificate,4,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,"$56,700 ",100
Bachelor's degree,2,50. Visual and performing arts,"50.01. Visual, digital and performing arts, general",,
Bachelor's degree,2,50. Visual and performing arts,50.03. Dance,,
Diploma,4,15. Engineering technologies and engineering-related fields,15.02. Civil engineering technology/technician,"$68,800 ",430
Diploma,4,15. Engineering technologies and engineering-related fields,15.03. Electrical and electronic engineering technologies/technicians,"$73,900 ",590
Diploma,4,15. Engineering technologies and engineering-related fields,15.04. Electromechanical and instrumentation and maintenance technologies/technicians,"$81,500 ",630
Diploma,4,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$54,500 ",200
Diploma,4,15. Engineering technologies and engineering-related fields,15.06. Industrial production technologies/technicians,"$85,400 ",60
Diploma,4,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$77,500 ",120
Diploma,4,15. Engineering technologies and engineering-related fields,15.08. Mechanical engineering related technologies/technicians,"$65,700 ",380
Bachelor's degree,2,51. Health professions and related programs,51.07. Health and medical administrative services,,
Bachelor's degree,2,51. Health professions and related programs,"51.09. Allied health diagnostic, intervention and treatment professions",,
Diploma,4,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$79,700 ",410
Diploma,4,15. Engineering technologies and engineering-related fields,15.10. Construction engineering technology/technician,"$77,500 ",210
Diploma,4,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$65,100 ",150
Bachelor's degree,2,51. Health professions and related programs,51.23. Rehabilitation and therapeutic professions,,
Diploma,4,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$58,600 ",530
Bachelor's degree,2,51. Health professions and related programs,"51.99. Health professions and related clinical sciences, other",,
Diploma,4,15. Engineering technologies and engineering-related fields,15.13. Drafting/design engineering technologies/technicians,"$58,800 ",440
Diploma,4,15. Engineering technologies and engineering-related fields,"15.99. Engineering technologies and engineering-related fields, other","$71,000 ",260
Bachelor's degree,4,15. Engineering technologies and engineering-related fields,15.15. Engineering-related fields,"$82,100 ",120
Certificate,5,15. Engineering technologies and engineering-related fields,15.05. Environmental control technologies/technicians,"$62,900 ",170
Certificate,5,15. Engineering technologies and engineering-related fields,15.07. Quality control and safety technologies/technicians,"$56,800 ",150
Certificate,5,15. Engineering technologies and engineering-related fields,15.09. Mining and petroleum technologies/technicians,"$86,100 ",100
Bachelor's degree,2,"52. Business, management, marketing and related support services",52.09. Hospitality administration/management,,
Certificate,5,15. Engineering technologies and engineering-related fields,15.11. Engineering-related technologies,"$53,600 ",90
Certificate,5,15. Engineering technologies and engineering-related fields,15.12. Computer engineering technologies/technicians,"$59,000 ",70
